Feature,Coefficient,Absolute Importance
lOComment,1.2821461456271852,1.2821461456271852
uniq_Op,1.2762519848916418,1.2762519848916418
loc,1.1350379041248215,1.1350379041248215
v(g),-0.989312587682736,0.989312587682736
i,0.8123555467772918,0.8123555467772918
branchCount,-0.8016003263393001,0.8016003263393001
total_Op,-0.755679034462117,0.755679034462117
uniq_Opnd,-0.67457152654097,0.67457152654097
locCodeAndComment,0.6387218965342959,0.6387218965342959
l,-0.5815724578738425,0.5815724578738425
total_Opnd,0.5775511605838363,0.5775511605838363
lOCode,-0.5273806467190659,0.5273806467190659
v,-0.5230868015831157,0.5230868015831157
iv(g),0.38568858671129724,0.38568858671129724
b,0.2738108620963556,0.2738108620963556
d,-0.2720969758690622,0.2720969758690622
n,-0.23644124618969412,0.23644124618969412
lOBlank,-0.14334727383297774,0.14334727383297774
e,-0.13194802837707215,0.13194802837707215
t,-0.13188525095884346,0.13188525095884346
ev(g),-0.11008834464423357,0.11008834464423357
